"Night Train","🗣️ Name","Itinerary","More details","🚂 Route","🌍 Countries","🏢 Operator","🎫 Tickets"
"CFM/CFR 401 + 402","Prietenia","Chişinău – București","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=22"">View details</a>","401: Chişinău - Ungheni - Ungheni Prut - Nicolina - Iași - Târgu Frumos - Roman - Buzău - Mizil - Ploiești Sud - București Nord<br><br>402: București Nord - Ploiești Sud - Mizil - Buzău - Râmnicu Sărat - Focșani - Mărășești - Adjud - Bacău - Roman - Târgu Frumos - Ungheni - Chişinău","RO, MD","CFM, CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://bileteinternationale.cfrcalatori.ro/en/"">Book tickets</a>"
"CFR IC 472 + IC 473","Ister","București – Budapest","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=12"">View details</a>","IC 472: București Nord - Ploiești Vest - Brașov - Sibiu - Arad - Curtici - Szolnok - Budapest Keleti<br><br>IC 473: Budapest-Keleti - Szolnok - Mezőtúr - Gyoma - Csárdaszállás - Mezőberény - Murony - Békéscsaba - Kétegyháza - Lőkösháza - Curtici - Arad - Sebeș Alba - Sibiu - Făgăraș - Codlea - Brașov - Predeal - Azuga - Bușteni - Sinaia - Câmpina - Ploiești Vest - București Nord","HU, RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://bileteinternationale.cfrcalatori.ro/en/"">Book tickets</a>"
"CFR R 4116 + 1641/R 4112",,"Sighetu Marmației – București","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=251"">View details</a>","R 4116: Sighetu Marmației - Vișeu de Jos - Beclean pe Somes - Gheorgheni - Câmpina - Ploiești Vest - București Nord<br><br>1641/R 4112: București Nord - Ploiești Vest - Câmpina - Brașov - Miercurea Ciuc - Beclean pe Somes - Vișeu de Jos - Sighetu Marmației","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/en/"">Book tickets</a>"
"CFR 1641 (SM) + 1642 (SM)",,"București – Satu Mare","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=20"">View details</a>","1641 (SM): București Nord - Ploiești Vest - Câmpina - Brașov - Miercurea Ciuc - Beclean pe Somes - Baia Mare - Satu Mare<br><br>1642 (SM): Satu Mare - Baia Mare - Beclean pe Somes - Miercurea Ciuc - Brașov - Câmpina - Ploiești Vest - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/en/"">Book tickets</a>"
"CFR R-E 4007/1642 + 1641/R-E 4008",,"Bistrița – București","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=249"">View details</a>","R-E 4007/1642: Bistrița Nord - Sărățel - Gheorgheni - Brașov - Câmpina - Ploiești Vest - București Nord<br><br>1641/R-E 4008: București Nord - Ploiești Vest - Brașov - Gheorgheni - Sărățel - Bistrița Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1641 (CN) + 1642 (CN)",,"București – Cluj-Napoca","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=250"">View details</a>","1641 (CN): București Nord - Ploiești Vest - Brașov - Sighișoara - Cluj-Napoca<br><br>1642 (CN): Cluj-Napoca - Sighișoara - Brașov - Câmpina - Ploiești Vest - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1653 + 1654",,"București – Vatra Dornei","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=19"">View details</a>","1653: București Nord - Ploiești Sud - Suceava - Câmpulung Moldovenesc - Vatra Dornei - Vatra Dornei Băi<br><br>1654: Vatra Dornei Băi - Vatra Dornei - Câmpulung Moldovenesc - Suceava - Ploiești Sud - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1667 + 1668",,"București – Iași","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=23"">View details</a>","1667: București Nord - Ploiești Sud - Buzău - Iași<br><br>1668: Iași - Vaslui - Bârlad - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 78/1743 + 1744/79",,"București – Oradea","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=14"">View details</a>","78/1743: București Nord - Craiova - Timişoara Nord - Arad - Oradea<br><br>1744/79: Oradea - Arad - Timişoara Nord - Craiova - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1763 + 1765",,"Iași – Timişoara","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=15"">View details</a>","1763: Iași - Suceava - Câmpulung Moldovenesc - Vatra Dornei - Beclean pe Somes - Dej - Cluj-Napoca - Deva - Arad - Timişoara Nord<br><br>1765: Timişoara Nord - Arad - Deva - Alba Iulia - Cluj-Napoca - Dej - Beclean pe Somes - Câmpulung Moldovenesc - Suceava - Iași","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1821 + 1822",,"București – Arad","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=21"">View details</a>","1821: București Nord - Craiova - Petroșani - Deva - Arad<br><br>1822: Arad - Deva - Petroșani - Craiova - București Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1837 + 1838",,"Iași – Cluj-Napoca","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=11"">View details</a>","1837: Iași - Suceava - Câmpulung Moldovenesc - Cluj-Napoca<br><br>1838: Cluj-Napoca - Dej - Beclean pe Somes - Vatra Dornei - Iași","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1920 + 1922",,"Constanța – Oradea","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=26"">View details</a>","1920: Constanța - București Nord - Craiova - Petroșani - Deva - Arad - Oradea<br><br>1922: Oradea - Arad - Deva - Petroșani - Craiova - București Nord - Constanța","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1941 + 1942/R 8810",,"Satu Mare – Mangalia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=25"">View details</a>","1941: Satu Mare - Baia Mare - Dej - Beclean pe Somes - Deda - Gheorgheni - Miercurea Ciuc - Brașov - Constanța - Mangalia<br><br>1942/R 8810: Mangalia - Constanța - Bucuresti Baneasa - Ploiești Vest - Brașov - Miercurea Ciuc - Gheorgheni - Dej - Baia Mare - Satu Mare","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR 1952 + 1954",,"Suceava – Constanța","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=13"">View details</a>","1952: Suceava Nord - Suceava - Bacău - Buzău - Constanța<br><br>1954: Constanța - Fetești - Buzău - Bacău - Suceava - Suceava Nord","RO","CFR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cfrcalatori.ro/"">Book tickets</a>"
"CFR/MÁV IRN / IC 78 + IRN / IC 79","Muntenia","București – Budapest","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=61"">View details</a>","IRN / IC 78: București Nord - Craiova - Timişoara Nord - Arad - Curtici - Lőkösháza - Szolnok - Budapest Keleti<br><br>IRN / IC 79: Budapest Keleti - Szolnok - Lőkösháza - Curtici - Arad - Timişoara Nord - Craiova - București Nord","HU, RO","CFR, MÁV","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://bileteinternationale.cfrcalatori.ro/en/"">Book tickets</a>"
"CFR/MÁV IC 406 + IC 407","Corona","Brașov – Budapest","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=67"">View details</a>","IC 406: Brașov - Miercurea Ciuc - Gheorgheni - Deda - Beclean pe Somes - Debrecen - Szolnok - Budapest Keleti<br><br>IC 407: Budapest Keleti - Szolnok - Debrecen - Carei - Deda - Gheorgheni - Miercurea Ciuc - Brașov","HU, RO","CFR, MÁV","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://jegy.mav.hu/"">Book tickets</a>"
"CFR/MÁV/ÖBB D 346 + D 347","Dacia","București – Wien","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=59"">View details</a>","D 346: București Nord - Ploiești Vest - Brașov - Sighișoara - Oradea - Budapest Keleti - Budapest Ferencváros - Budapest Kelenföld - Győr - Wien Hbf<br><br>D 347: Wien Hbf - Győr - Budapest Kelenföld - Budapest Keleti - Arad - Alba Iulia - Sighișoara - Brașov - Ploiești Vest - București Nord","AT, HU, RO","CFR, MÁV, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://bileteinternationale.cfrcalatori.ro/en/"">Book tickets</a>"
"CS 1001 (A) + 1002 (A)","Highlander","London – Aberdeen","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=39"">View details</a>","1001 (A): London Euston - Birmingham International  - Crewe - Preston - Dundee - Aberdeen<br><br>1002 (A): Aberdeen - Dundee - Preston - Crewe - Birmingham International  - London Euston","GB","CS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sleeper.scot/"">Book tickets</a>"
"CS 1001 (FW) + 1002 (FW)","Highlander","London – Fort William","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=40"">View details</a>","1001 (FW): London Euston - Birmingham International  - Crewe - Preston - Crianlarich - Fort William / An Gearasdan<br><br>1002 (FW): Fort William / An Gearasdan - Crianlarich - Preston - Crewe - Birmingham International  - London Euston","GB","CS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sleeper.scot/"">Book tickets</a>"
"CS 1001 (I) + 1002 (I)","Highlander","London – Inverness","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=41"">View details</a>","1001 (I): London Euston - Birmingham International  - Crewe - Preston - Stirling - Perth / Peairt - Aviemore - Inverness / Inbhir Nis<br><br>1002 (I): Inverness / Inbhir Nis - Aviemore - Perth / Peairt - Stirling - Preston - Crewe - Birmingham International  - London Euston","GB","CS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sleeper.scot/"">Book tickets</a>"
"CS 1003 (E) + 1004 (E)","Lowlander","London – Edinburgh","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=38"">View details</a>","1003 (E): London Euston - Watford Junction - Carlisle - Edinburgh Waverley<br><br>1004 (E): Edinburgh Waverley - Carlisle - Watford Junction - London Euston","GB","CS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sleeper.scot/"">Book tickets</a>"
"CS 1003 (G) + 1004 (G)","Lowlander","London – Glasgow","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=37"">View details</a>","1003 (G): London Euston - Watford Junction - Carlisle - Motherwell - Glasgow Central<br><br>1004 (G): Glasgow Central - Motherwell - Carlisle - Watford Junction - London Euston","GB","CS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.sleeper.scot/"">Book tickets</a>"
"ES 452 + 453",,"Praha – Bruxelles / Brussel","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=237"">View details</a>","452: Praha hl.n. - Ústí nad Labem hl.n. - Děčín hl.n. - Bad Schandau - Dresden Hbf - Dresden Neustadt - Berlin Hbf - Deventer - Amersfoort Centraal - Amsterdam Centraal - Rotterdam Centraal - Antwerpen Centraal / Anvers Central - Bruxelles Midi / Brussel Zuid<br><br>453: Bruxelles Midi / Brussel Zuid - Antwerpen Centraal / Anvers Central - Rotterdam Centraal - Den Haag - Schipol Airport - Amsterdam Centraal - Amersfoort Centraal - Deventer - Berlin Hbf - Dresden Neustadt - Dresden Hbf - Bad Schandau - Děčín hl.n. - Ústí nad Labem hl.n. - Praha hl.n.","CZ, DE, NL, BE","ES","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.europeansleeper.eu/"">Book tickets</a>"
"ES 496 + 497",,"Paris – Berlin","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=238"">View details</a>","496: Paris Gare du Nord - Bruxelles Midi / Brussel Zuid - Berlin Hbf<br><br>497: Berlin Hbf - Bruxelles Midi / Brussel Zuid - Paris Gare du Nord","DE, BE, FR","ES","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.europeansleeper.eu/"">Book tickets</a>"
"FS IC Notte 1954 + IC Notte 1955 (P)",,"Palermo – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=101"">View details</a>","IC Notte 1954: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Roma Termini<br><br>IC Notte 1955 (P): Roma Termini - Baqël - Salerno - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 1958 + IC Notte 1959 (P)",,"Palermo – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=102"">View details</a>","IC Notte 1958: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Salerno - Baqël - Roma Termini<br><br>IC Notte 1959 (P): Roma Termini - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 1955 (S) + IC Notte 1956",,"Roma – Siracusa","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=103"">View details</a>","IC Notte 1955 (S): Roma Termini - Baqël - Salerno - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa<br><br>IC Notte 1956: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Lamezia Terme Centrale - Roma Termini","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 1959 (S) + IC Notte 1960",,"Roma – Siracusa","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=104"">View details</a>","IC Notte 1959 (S): Roma Termini - Lamezia Terme Centrale - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa<br><br>IC Notte 1960: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Salerno - Baqël - Roma Termini","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 1962 + IC Notte 1963",,"Siracusa – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=85"">View details</a>","IC Notte 1962: Siracusa - Catania Centrale - Taormina Giardini - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale - Milano Centrale<br><br>IC Notte 1963: Milano Centrale - Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Taormina Giardini - Catania Centrale - Siracusa","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 1964 + IC Notte 1967",,"Palermo – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=84"">View details</a>","IC Notte 1964: Palermo Centrale - Termini Imerese - Barcellona Castroreale - Messina Centrale - Lamezia Terme Centrale - Salerno - Firenze S. M. N. - Bologna Centrale - Milano Centrale<br><br>IC Notte 1967: Milano Centrale - Bologna Centrale - Firenze S. M. N. - Salerno - Lamezia Terme Centrale - Messina Centrale - Barcellona Castroreale - Termini Imerese - Palermo Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 752 + IC Notte 755",,"Lecce – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=86"">View details</a>","IC Notte 752: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale<br><br>IC Notte 755: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 754 + IC Notte 757",,"Lecce – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=97"">View details</a>","IC Notte 754: Lecce - Brindisi - Bari Centrale - Foggia - Bologna Centrale - Torino Lingotto<br><br>IC Notte 757: Torino Lingotto - Bologna Centrale - Foggia - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 758 + IC Notte 765",,"Lecce – Milano","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=76"">View details</a>","IC Notte 758: Lecce - Brindisi - Taranto - Bari Centrale - Foggia - Bologna Centrale - Milano Centrale<br><br>IC Notte 765: Milano Centrale - Bologna Centrale - Foggia - Bari Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 763 + IC Notte 764",,"Bolzano – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=106"">View details</a>","IC Notte 763: Bolzano / Bozen - Verona Porta Nuova - Orvieto - Roma Termini<br><br>IC Notte 764: Roma Termini - Orvieto - Verona Porta Nuova - Bolzano / Bozen","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 770 + IC Notte 774",,"Trieste – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=105"">View details</a>","IC Notte 770: Trieste Centrale - Udine - Venezia Santa Lucia - Bologna Centrale - Roma Termini<br><br>IC Notte 774: Roma Termini - Venezia Santa Lucia - Udine - Trieste Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 788 + IC Notte 789",,"Lecce – Roma","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=96"">View details</a>","IC Notte 788: Lecce - Brindisi - Bari Centrale - Roma Termini<br><br>IC Notte 789: Roma Termini - Bari Centrale - Brindisi - Lecce","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 794 + IC Notte 795",,"Reggio Calabria – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=100"">View details</a>","IC Notte 794: Reggio Calabria Centrale - Tropea - Lamezia Terme Centrale - Roma Ostiense - Civitavecchia - Grosseto - Livorno Centrale - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe - Torino Lingotto<br><br>IC Notte 795: Torino Lingotto - Genova Piazza Principe - La Spezia Centrale - Pisa Centrale - Livorno Centrale - Grosseto - Civitavecchia - Roma Ostiense - Lamezia Terme Centrale - Tropea - Reggio Calabria Centrale","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 796 + IC Notte 1515",,"Salerno – Torino","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=99"">View details</a>","IC Notte 796: Salerno - Napoli Centrale - Roma Tiburtina - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe - Torino Lingotto<br><br>IC Notte 1515: Torino Lingotto - Genova Piazza Principe - La Spezia Centrale - Pisa Centrale - Civitavecchia - Roma Ostiense - Baqël - Salerno","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
"FS IC Notte 797 + IC Notte 798",,"Torino – Salerno","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=83"">View details</a>","IC Notte 797: Torino Porta Susa - Milano Porta Garibaldi - Roma Tiburtina - Baqël - Salerno<br><br>IC Notte 798: Salerno - Baqël - Roma Tiburtina - Orvieto - Milano Porta Garibaldi - Torino Porta Susa","IT","FS","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.trenitalia.com/en.html"">Book tickets</a>"
